Date,City,Customer type,Gender,Product line,Quantity,Tax 5%,Total,Payment,gross margin percentage,gross income,Rating,Hours,month,Days
2019-03-28,Mandalay,Normal,Female,Fashion accessories,3,4.56,95.67,Ewallet,4.76,4.56,5.1,12-15 PM,March,week4
2019-03-02,Mandalay,Normal,Female,Electronic accessories,9,44.88,942.45,Credit card,4.76,44.88,6.5,18-21 PM,March,week1
2019-01-25,Yangon,Normal,Male,Electronic accessories,9,11.8,247.87,Ewallet,4.76,11.8,5.9,18-21 PM,January,week4
2019-01-16,Naypyitaw,Normal,Female,Food and beverages,9,41.97,881.31,Cash,4.76,41.97,8.8,15-18 PM,January,week3
2019-03-20,Mandalay,Normal,Male,Home and lifestyle,5,23.09,484.89,Ewallet,4.76,23.09,4.9,18-21 PM,March,week3
2019-01-04,Mandalay,Normal,Male,Sports and travel,3,6.96,146.22,Credit card,4.76,6.96,4.4,12-15 PM,January,week1
2019-03-11,Mandalay,Member,Female,Sports and travel,7,10.36,217.63,Cash,4.76,10.36,6.5,15-18 PM,March,week2
2019-03-22,Yangon,Normal,Male,Home and lifestyle,1,0.91,19.19,Credit card,4.76,0.91,8.3,12-15 PM,March,week4
2019-03-24,Mandalay,Normal,Female,Sports and travel,5,6.19,130.04,Cash,4.76,6.19,8.5,15-18 PM,March,week4
2019-02-21,Yangon,Member,Female,Electronic accessories,3,14.2,298.12,Cash,4.76,14.2,5.5,15-18 PM,February,week3
2019-02-12,Mandalay,Normal,Male,Fashion accessories,8,37.95,796.91,Ewallet,4.76,37.95,8.7,12-15 PM,February,week2
2019-03-10,Mandalay,Normal,Female,Food and beverages,3,8.6,180.62,Credit card,4.76,8.6,7.9,18-21 PM,March,week2
2019-01-31,Mandalay,Normal,Male,Electronic accessories,6,13.6,285.7,Ewallet,4.76,13.6,6.1,12-15 PM,January,29-31
2019-03-06,Mandalay,Normal,Male,Food and beverages,7,21.73,456.29,Ewallet,4.76,21.73,5.4,12-15 PM,March,week1
2019-02-17,Naypyitaw,Normal,Male,Electronic accessories,5,2.95,62.0,Cash,4.76,2.95,9.4,15-18 PM,February,week3
2019-02-21,Naypyitaw,Member,Female,Fashion accessories,1,0.63,13.17,Cash,4.76,0.63,8.2,12-15 PM,February,week3
2019-03-20,Yangon,Normal,Male,Food and beverages,2,4.32,90.82,Cash,4.76,4.32,6.2,15-18 PM,March,week3
2019-01-11,Naypyitaw,Member,Female,Sports and travel,2,8.72,183.04,Credit card,4.76,8.72,9.7,12-15 PM,January,week2
2019-01-26,Mandalay,Member,Male,Health and beauty,9,31.22,655.55,Ewallet,4.76,31.22,4.0,18-21 PM,January,week4
2019-01-31,Naypyitaw,Member,Male,Electronic accessories,4,7.41,155.65,Ewallet,4.76,7.41,9.7,15-18 PM,January,29-31
2019-02-26,Mandalay,Member,Female,Electronic accessories,6,27.21,571.41,Cash,4.76,27.21,5.3,9-12 AM,February,week4
2019-03-11,Yangon,Normal,Female,Home and lifestyle,8,25.37,532.73,Ewallet,4.76,25.37,7.4,12-15 PM,March,week2
2019-01-26,Mandalay,Normal,Female,Fashion accessories,2,8.14,170.88,Cash,4.76,8.14,6.5,18-21 PM,January,week4
2019-03-12,Mandalay,Member,Female,Electronic accessories,3,1.59,33.36,Credit card,4.76,1.59,8.7,12-15 PM,March,week2
2019-02-11,Mandalay,Normal,Female,Health and beauty,9,37.84,794.65,Cash,4.76,37.84,8.0,9-12 AM,February,week2
2019-02-21,Mandalay,Member,Male,Fashion accessories,4,14.76,310.04,Cash,4.76,14.76,6.7,18-21 PM,February,week3
2019-03-09,Yangon,Member,Male,Health and beauty,10,25.97,545.37,Ewallet,4.76,25.97,6.5,15-18 PM,March,week2
2019-01-20,Yangon,Normal,Female,Sports and travel,2,9.31,195.59,Ewallet,4.76,9.31,4.1,15-18 PM,January,week3
2019-01-28,Naypyitaw,Normal,Male,Health and beauty,5,4.35,91.4,Credit card,4.76,4.35,4.9,12-15 PM,January,week4
2019-03-05,Naypyitaw,Member,Female,Fashion accessories,5,11.06,232.16,Credit card,4.76,11.06,8.6,15-18 PM,March,week1
2019-03-02,Mandalay,Member,Female,Electronic accessories,5,3.3,69.4,Cash,4.76,3.3,4.3,18-21 PM,March,week1
2019-01-11,Yangon,Normal,Male,Fashion accessories,1,4.48,94.17,Ewallet,4.76,4.48,4.9,9-12 AM,January,week2
2019-01-11,Yangon,Normal,Male,Food and beverages,9,11.22,235.68,Credit card,4.76,11.22,5.6,15-18 PM,January,week2
2019-03-11,Yangon,Normal,Male,Health and beauty,2,5.98,125.52,Credit card,4.76,5.98,5.8,9-12 AM,March,week2
2019-02-28,Naypyitaw,Member,Male,Fashion accessories,2,9.32,195.72,Credit card,4.76,9.32,6.0,18-21 PM,February,week4
2019-01-05,Yangon,Member,Male,Home and lifestyle,4,12.53,263.13,Cash,4.76,12.53,4.2,9-12 AM,January,week1
2019-02-02,Mandalay,Normal,Male,Home and lifestyle,8,37.55,788.51,Credit card,4.76,37.55,8.3,18-21 PM,February,week1
2019-01-01,Yangon,Member,Male,Home and lifestyle,8,19.04,399.76,Cash,4.76,19.04,5.7,12-15 PM,January,week1
2019-02-09,Mandalay,Member,Female,Electronic accessories,3,12.21,256.41,Cash,4.76,12.21,4.8,18-21 PM,February,week2
2019-01-23,Yangon,Member,Male,Fashion accessories,5,4.49,94.18,Ewallet,4.76,4.49,6.8,12-15 PM,January,week4
2019-01-07,Yangon,Member,Male,Electronic accessories,4,15.54,326.42,Credit card,4.76,15.54,8.8,15-18 PM,January,week1
2019-01-14,Mandalay,Normal,Male,Food and beverages,7,25.57,536.99,Credit card,4.76,25.57,4.2,18-21 PM,January,week2
2019-02-02,Mandalay,Member,Male,Food and beverages,9,20.95,439.9,Ewallet,4.76,20.95,6.4,15-18 PM,February,week1
2019-03-17,Naypyitaw,Member,Male,Fashion accessories,10,17.6,369.5,Credit card,4.76,17.6,8.4,18-21 PM,March,week3
2019-03-02,Naypyitaw,Normal,Female,Sports and travel,2,1.44,30.22,Credit card,4.76,1.44,7.2,18-21 PM,March,week1
2019-03-16,Yangon,Normal,Male,Home and lifestyle,4,4.75,99.75,Cash,4.76,4.75,5.2,9-12 AM,March,week3
2019-01-06,Yangon,Member,Male,Home and lifestyle,8,23.56,494.76,Cash,4.76,23.56,8.9,9-12 AM,January,week1
2019-01-29,Mandalay,Member,Male,Fashion accessories,4,6.52,137.0,Cash,4.76,6.52,9.0,12-15 PM,January,29-31
2019-01-31,Yangon,Member,Male,Electronic accessories,1,3.32,69.67,Credit card,4.76,3.32,9.7,9-12 AM,January,29-31
2019-02-05,Yangon,Member,Male,Home and lifestyle,6,7.77,163.23,Ewallet,4.76,7.77,8.7,9-12 AM,February,week1
2019-02-13,Yangon,Member,Male,Electronic accessories,4,6.45,135.45,Ewallet,4.76,6.45,6.5,12-15 PM,February,week2
2019-02-07,Naypyitaw,Member,Male,Electronic accessories,4,13.19,276.95,Credit card,4.76,13.19,6.9,12-15 PM,February,week1
2019-03-19,Yangon,Normal,Female,Electronic accessories,9,33.78,709.32,Ewallet,4.76,33.78,6.2,12-15 PM,March,week3
2019-03-07,Naypyitaw,Normal,Female,Fashion accessories,4,3.29,69.09,Ewallet,4.76,3.29,5.6,12-15 PM,March,week1
2019-03-13,Mandalay,Member,Female,Fashion accessories,4,7.66,160.86,Cash,4.76,7.66,5.7,18-21 PM,March,week2
2019-02-09,Yangon,Member,Female,Sports and travel,10,11.12,233.52,Cash,4.76,11.12,4.2,9-12 AM,February,week2
2019-02-26,Mandalay,Normal,Male,Sports and travel,1,2.72,57.17,Ewallet,4.76,2.72,7.9,18-21 PM,February,week4
2019-03-12,Yangon,Member,Female,Sports and travel,7,34.44,723.24,Credit card,4.76,34.44,8.7,12-15 PM,March,week2
2019-03-14,Naypyitaw,Normal,Male,Home and lifestyle,4,7.09,148.97,Credit card,4.76,7.09,6.9,15-18 PM,March,week2
2019-01-08,Mandalay,Member,Female,Food and beverages,10,37.3,783.3,Cash,4.76,37.3,9.5,18-21 PM,January,week2
2019-01-05,Yangon,Member,Male,Home and lifestyle,4,14.15,297.11,Credit card,4.76,14.15,4.4,15-18 PM,January,week1
2019-01-04,Yangon,Member,Female,Home and lifestyle,10,17.77,373.17,Ewallet,4.76,17.77,7.0,12-15 PM,January,week1
2019-03-06,Mandalay,Normal,Female,Sports and travel,5,16.86,354.01,Ewallet,4.76,16.86,6.3,15-18 PM,March,week1
2019-01-03,Naypyitaw,Member,Female,Health and beauty,2,2.11,44.35,Cash,4.76,2.11,9.7,18-21 PM,January,week1
2019-01-07,Yangon,Member,Female,Home and lifestyle,9,9.69,203.55,Credit card,4.76,9.69,8.8,9-12 AM,January,week1
2019-01-27,Yangon,Normal,Female,Home and lifestyle,2,1.2,25.26,Cash,4.76,1.2,5.1,15-18 PM,January,week4
2019-02-26,Mandalay,Normal,Female,Health and beauty,6,29.91,628.17,Ewallet,4.76,29.91,7.9,15-18 PM,February,week4
2019-01-07,Mandalay,Normal,Male,Fashion accessories,7,16.79,352.58,Cash,4.76,16.79,6.2,18-21 PM,January,week1
2019-01-07,Naypyitaw,Member,Female,Home and lifestyle,10,10.91,229.11,Cash,4.76,10.91,7.1,15-18 PM,January,week1
2019-02-02,Naypyitaw,Normal,Female,Fashion accessories,4,19.08,400.76,Ewallet,4.76,19.08,6.4,12-15 PM,February,week1
2019-03-20,Naypyitaw,Member,Male,Fashion accessories,10,35.49,745.4,Cash,4.76,35.49,5.7,15-18 PM,March,week3
2019-03-20,Yangon,Member,Male,Sports and travel,10,22.01,462.21,Credit card,4.76,22.01,9.6,18-21 PM,March,week3
2019-02-15,Yangon,Normal,Female,Home and lifestyle,8,27.98,587.66,Credit card,4.76,27.98,6.4,15-18 PM,February,week3
2019-03-06,Naypyitaw,Normal,Male,Home and lifestyle,1,1.85,38.85,Credit card,4.76,1.85,7.9,12-15 PM,March,week1
2019-01-06,Yangon,Normal,Female,Sports and travel,1,0.77,16.11,Cash,4.76,0.77,6.5,9-12 AM,January,week1
2019-03-04,Yangon,Member,Male,Health and beauty,6,29.95,628.93,Ewallet,4.76,29.95,8.5,12-15 PM,March,week1
2019-03-12,Yangon,Member,Female,Health and beauty,4,9.53,200.21,Cash,4.76,9.53,9.1,12-15 PM,March,week2
2019-02-20,Mandalay,Normal,Male,Health and beauty,5,16.67,350.07,Cash,4.76,16.67,7.6,15-18 PM,February,week3
2019-03-24,Naypyitaw,Member,Male,Home and lifestyle,1,3.74,78.6,Cash,4.76,3.74,6.9,12-15 PM,March,week4
2019-01-31,Naypyitaw,Normal,Female,Sports and travel,9,10.69,224.44,Cash,4.76,10.69,9.5,9-12 AM,January,29-31
2019-01-25,Mandalay,Normal,Female,Food and beverages,7,16.98,356.55,Credit card,4.76,16.98,5.2,12-15 PM,January,week4
2019-02-03,Yangon,Member,Female,Home and lifestyle,7,33.21,697.37,Cash,4.76,33.21,4.2,12-15 PM,February,week1
2019-01-24,Mandalay,Member,Male,Electronic accessories,10,20.15,423.15,Credit card,4.76,20.15,7.0,15-18 PM,January,week4
2019-03-14,Naypyitaw,Normal,Male,Electronic accessories,7,9.75,204.7,Ewallet,4.76,9.75,6.0,15-18 PM,March,week2
2019-02-18,Yangon,Member,Female,Electronic accessories,1,3.12,65.6,Cash,4.76,3.12,4.7,18-21 PM,February,week3
2019-01-21,Yangon,Member,Female,Food and beverages,2,3.64,76.36,Cash,4.76,3.64,7.1,9-12 AM,January,week3
2019-03-13,Mandalay,Normal,Male,Health and beauty,10,9.06,190.16,Ewallet,4.76,9.06,5.9,9-12 AM,March,week2
2019-03-03,Naypyitaw,Member,Female,Electronic accessories,5,12.98,272.58,Cash,4.76,12.98,7.5,12-15 PM,March,week1
2019-03-29,Naypyitaw,Normal,Male,Electronic accessories,4,5.77,121.13,Cash,4.76,5.77,6.4,12-15 PM,March,29-31
2019-01-10,Yangon,Member,Male,Home and lifestyle,6,23.51,493.79,Ewallet,4.76,23.51,5.8,12-15 PM,January,week2
2019-01-25,Yangon,Member,Male,Home and lifestyle,4,12.0,252.04,Cash,4.76,12.0,4.5,15-18 PM,January,week4
2019-01-19,Naypyitaw,Member,Female,Home and lifestyle,1,4.43,93.04,Cash,4.76,4.43,7.7,9-12 AM,January,week3
2019-01-02,Naypyitaw,Normal,Male,Fashion accessories,2,9.98,209.62,Credit card,4.76,9.98,6.7,15-18 PM,January,week1
2019-03-12,Mandalay,Member,Male,Health and beauty,1,1.95,40.96,Credit card,4.76,1.95,4.7,15-18 PM,March,week2
2019-02-25,Naypyitaw,Normal,Male,Food and beverages,1,2.43,51.04,Cash,4.76,2.43,4.4,15-18 PM,February,week4
2019-03-18,Yangon,Normal,Female,Electronic accessories,4,10.24,215.0,Credit card,4.76,10.24,4.7,15-18 PM,March,week3
2019-02-23,Mandalay,Normal,Female,Electronic accessories,8,5.98,125.66,Cash,4.76,5.98,8.6,9-12 AM,February,week4
2019-03-26,Yangon,Member,Male,Electronic accessories,7,25.27,530.67,Ewallet,4.76,25.27,4.3,18-21 PM,March,week4
2019-03-30,Yangon,Normal,Female,Sports and travel,7,14.08,295.69,Cash,4.76,14.08,9.6,12-15 PM,March,29-31
2019-02-17,Yangon,Member,Female,Home and lifestyle,8,35.52,745.84,Cash,4.76,35.52,4.1,15-18 PM,February,week3
2019-03-21,Yangon,Member,Female,Electronic accessories,3,3.97,83.41,Ewallet,4.76,3.97,4.7,9-12 AM,March,week3
2019-03-05,Yangon,Normal,Female,Fashion accessories,2,8.19,172.01,Cash,4.76,8.19,7.8,15-18 PM,March,week1
2019-01-31,Mandalay,Member,Male,Sports and travel,6,23.98,503.56,Cash,4.76,23.98,5.5,12-15 PM,January,29-31
2019-02-05,Naypyitaw,Member,Male,Fashion accessories,2,6.93,145.59,Ewallet,4.76,6.93,9.7,18-21 PM,February,week1
2019-02-01,Yangon,Member,Female,Food and beverages,5,3.56,74.71,Credit card,4.76,3.56,4.4,9-12 AM,February,week1
2019-03-07,Yangon,Member,Female,Health and beauty,9,7.0,146.95,Cash,4.76,7.0,5.0,12-15 PM,March,week1
2019-02-10,Naypyitaw,Member,Female,Electronic accessories,10,39.06,820.36,Cash,4.76,39.06,4.4,18-21 PM,February,week2
2019-02-14,Naypyitaw,Member,Male,Food and beverages,2,9.94,208.68,Cash,4.76,9.94,5.2,15-18 PM,February,week2
2019-02-09,Naypyitaw,Member,Female,Food and beverages,3,3.16,66.4,Cash,4.76,3.16,7.3,9-12 AM,February,week2
2019-01-10,Naypyitaw,Member,Male,Electronic accessories,5,18.7,392.65,Cash,4.76,18.7,4.9,9-12 AM,January,week2
2019-03-11,Naypyitaw,Member,Female,Health and beauty,7,10.38,218.07,Credit card,4.76,10.38,8.1,18-21 PM,March,week2
2019-02-18,Naypyitaw,Member,Male,Health and beauty,4,8.81,185.09,Ewallet,4.76,8.81,8.4,15-18 PM,February,week3
2019-02-26,Naypyitaw,Normal,Female,Food and beverages,9,10.32,216.69,Cash,4.76,10.32,5.5,18-21 PM,February,week4
2019-01-18,Naypyitaw,Normal,Female,Health and beauty,1,1.97,41.39,Cash,4.76,1.97,8.4,12-15 PM,January,week3
2019-02-15,Yangon,Normal,Male,Health and beauty,6,4.58,96.14,Ewallet,4.76,4.58,9.8,15-18 PM,February,week3
2019-03-08,Yangon,Normal,Female,Fashion accessories,5,15.44,324.29,Cash,4.76,15.44,6.7,12-15 PM,March,week2
2019-01-17,Yangon,Normal,Male,Home and lifestyle,6,6.46,135.58,Credit card,4.76,6.46,9.4,12-15 PM,January,week3
2019-03-12,Mandalay,Normal,Male,Sports and travel,4,19.55,410.51,Ewallet,4.76,19.55,6.4,18-21 PM,March,week2
2019-03-09,Yangon,Member,Male,Food and beverages,5,24.94,523.84,Cash,4.76,24.94,5.4,18-21 PM,March,week2
2019-03-12,Naypyitaw,Member,Male,Food and beverages,4,18.85,395.89,Cash,4.76,18.85,8.6,15-18 PM,March,week2
2019-01-25,Mandalay,Member,Male,Health and beauty,4,10.23,214.75,Credit card,4.76,10.23,4.0,9-12 AM,January,week4
2019-03-25,Yangon,Member,Male,Electronic accessories,4,7.27,152.71,Cash,4.76,7.27,7.6,12-15 PM,March,week4
2019-02-07,Mandalay,Normal,Male,Home and lifestyle,9,9.91,208.09,Cash,4.76,9.91,6.8,18-21 PM,February,week1
2019-02-17,Yangon,Normal,Male,Food and beverages,3,4.93,103.64,Credit card,4.76,4.93,9.1,15-18 PM,February,week3
2019-02-03,Yangon,Normal,Male,Fashion accessories,5,19.26,404.36,Cash,4.76,19.26,5.5,15-18 PM,February,week1
2019-03-14,Yangon,Member,Male,Food and beverages,2,2.35,49.31,Credit card,4.76,2.35,7.9,9-12 AM,March,week2
2019-03-24,Naypyitaw,Member,Male,Sports and travel,5,3.68,77.18,Ewallet,4.76,3.68,8.5,12-15 PM,March,week4
2019-03-21,Yangon,Member,Female,Electronic accessories,5,7.11,149.36,Credit card,4.76,7.11,9.1,9-12 AM,March,week3
2019-03-19,Yangon,Normal,Male,Fashion accessories,9,34.38,721.98,Ewallet,4.76,34.38,7.5,15-18 PM,March,week3
2019-02-24,Mandalay,Normal,Female,Sports and travel,6,17.39,365.08,Cash,4.76,17.39,5.2,12-15 PM,February,week4
2019-03-28,Naypyitaw,Normal,Female,Electronic accessories,3,7.15,150.1,Credit card,4.76,7.15,9.5,12-15 PM,March,week4
2019-02-05,Mandalay,Member,Female,Food and beverages,9,19.27,404.65,Credit card,4.76,19.27,8.9,12-15 PM,February,week1
2019-02-10,Mandalay,Member,Male,Electronic accessories,3,7.21,151.48,Credit card,4.76,7.21,7.8,15-18 PM,February,week2
2019-03-05,Mandalay,Member,Female,Health and beauty,7,19.59,411.38,Ewallet,4.76,19.59,8.9,18-21 PM,March,week1
2019-02-15,Mandalay,Member,Female,Health and beauty,7,26.92,565.22,Cash,4.76,26.92,7.7,18-21 PM,February,week3
2019-01-30,Naypyitaw,Normal,Female,Food and beverages,5,24.26,509.41,Ewallet,4.76,24.26,9.3,15-18 PM,January,29-31
2019-02-14,Yangon,Normal,Male,Sports and travel,3,6.7,140.65,Cash,4.76,6.7,6.2,12-15 PM,February,week2
2019-02-27,Yangon,Normal,Female,Fashion accessories,9,35.07,736.44,Ewallet,4.76,35.07,7.6,15-18 PM,February,week4
2019-02-04,Yangon,Member,Male,Electronic accessories,1,3.6,75.55,Cash,4.76,3.6,7.3,9-12 AM,February,week1
2019-01-20,Naypyitaw,Member,Female,Home and lifestyle,8,35.7,749.7,Cash,4.76,35.7,4.7,9-12 AM,January,week3
2019-03-28,Yangon,Normal,Male,Electronic accessories,7,9.11,191.25,Cash,4.76,9.11,5.1,15-18 PM,March,week4
2019-02-27,Mandalay,Normal,Female,Health and beauty,10,6.75,141.75,Credit card,4.76,6.75,4.8,9-12 AM,February,week4
2019-02-15,Naypyitaw,Member,Female,Fashion accessories,10,49.65,1042.65,Credit card,4.76,49.65,6.6,12-15 PM,February,week3
2019-01-26,Yangon,Normal,Male,Electronic accessories,7,18.09,379.92,Cash,4.76,18.09,5.5,15-18 PM,January,week4
2019-03-14,Mandalay,Member,Female,Fashion accessories,7,19.16,402.27,Credit card,4.76,19.16,8.5,18-21 PM,March,week2
2019-03-02,Mandalay,Member,Male,Home and lifestyle,9,12.15,255.15,Cash,4.76,12.15,4.8,12-15 PM,March,week1
2019-03-04,Naypyitaw,Normal,Female,Electronic accessories,1,1.51,31.75,Cash,4.76,1.51,8.4,15-18 PM,March,week1
2019-01-07,Mandalay,Member,Female,Food and beverages,4,17.83,374.39,Credit card,4.76,17.83,7.8,9-12 AM,January,week1
2019-03-08,Naypyitaw,Normal,Female,Fashion accessories,10,18.77,394.28,Credit card,4.76,18.77,9.3,18-21 PM,March,week2
2019-01-09,Naypyitaw,Normal,Female,Sports and travel,10,47.72,1002.12,Cash,4.76,47.72,5.2,12-15 PM,January,week2
2019-03-01,Mandalay,Normal,Male,Electronic accessories,3,4.12,86.62,Ewallet,4.76,4.12,6.5,15-18 PM,March,week1
2019-03-16,Mandalay,Normal,Male,Sports and travel,1,3.75,78.72,Cash,4.76,3.75,5.6,15-18 PM,March,week3
2019-02-17,Yangon,Member,Male,Food and beverages,8,32.38,680.06,Credit card,4.76,32.38,7.4,9-12 AM,February,week3
2019-02-27,Naypyitaw,Normal,Female,Food and beverages,8,37.79,793.55,Cash,4.76,37.79,9.1,12-15 PM,February,week4
2019-03-07,Naypyitaw,Normal,Male,Food and beverages,2,9.98,209.56,Ewallet,4.76,9.98,8.0,18-21 PM,March,week1
2019-01-21,Yangon,Normal,Male,Home and lifestyle,6,21.97,461.29,Cash,4.76,21.97,7.2,15-18 PM,January,week3
2019-02-19,Naypyitaw,Normal,Female,Food and beverages,4,8.25,173.21,Cash,4.76,8.25,7.1,15-18 PM,February,week3
2019-01-06,Naypyitaw,Normal,Female,Fashion accessories,4,16.34,343.06,Cash,4.76,16.34,9.1,9-12 AM,January,week1
2019-03-14,Naypyitaw,Normal,Female,Electronic accessories,9,23.09,484.97,Cash,4.76,23.09,5.6,18-21 PM,March,week2
2019-03-24,Yangon,Member,Male,Home and lifestyle,4,13.19,276.95,Cash,4.76,13.19,6.0,9-12 AM,March,week4
2019-01-27,Naypyitaw,Normal,Female,Sports and travel,10,7.18,150.78,Cash,4.76,7.18,5.4,12-15 PM,January,week4
2019-03-06,Yangon,Member,Male,Electronic accessories,9,9.68,203.18,Credit card,4.76,9.68,7.8,12-15 PM,March,week1
2019-02-02,Mandalay,Member,Female,Electronic accessories,7,9.19,193.01,Cash,4.76,9.19,9.9,18-21 PM,February,week1
2019-01-25,Mandalay,Normal,Female,Fashion accessories,2,6.1,128.02,Credit card,4.76,6.1,4.9,18-21 PM,January,week4
2019-03-14,Naypyitaw,Normal,Female,Home and lifestyle,6,21.03,441.69,Ewallet,4.76,21.03,5.2,15-18 PM,March,week2
2019-01-29,Naypyitaw,Normal,Male,Fashion accessories,6,12.62,265.1,Cash,4.76,12.62,8.9,9-12 AM,January,29-31
2019-01-03,Yangon,Normal,Female,Home and lifestyle,5,16.77,352.22,Credit card,4.76,16.77,9.1,15-18 PM,January,week1
2019-01-14,Yangon,Member,Female,Fashion accessories,5,24.18,507.68,Ewallet,4.76,24.18,7.0,12-15 PM,January,week2
2019-01-05,Mandalay,Member,Female,Home and lifestyle,9,15.92,334.34,Credit card,4.76,15.92,9.6,18-21 PM,January,week1
2019-02-22,Naypyitaw,Normal,Male,Sports and travel,7,33.42,701.85,Ewallet,4.76,33.42,8.7,15-18 PM,February,week4
2019-02-06,Naypyitaw,Member,Male,Fashion accessories,4,19.4,407.32,Ewallet,4.76,19.4,9.4,15-18 PM,February,week1
2019-01-30,Mandalay,Normal,Female,Electronic accessories,4,4.73,99.33,Credit card,4.76,4.73,4.0,12-15 PM,January,29-31
2019-01-11,Yangon,Member,Male,Sports and travel,4,16.47,345.79,Credit card,4.76,16.47,7.5,9-12 AM,January,week2
2019-03-19,Naypyitaw,Normal,Female,Electronic accessories,2,2.66,55.88,Cash,4.76,2.66,4.2,12-15 PM,March,week3
2019-01-14,Mandalay,Normal,Female,Food and beverages,5,24.92,523.37,Cash,4.76,24.92,9.9,9-12 AM,January,week2
2019-03-01,Naypyitaw,Member,Female,Food and beverages,4,14.98,314.54,Ewallet,4.76,14.98,4.2,15-18 PM,March,week1
2019-01-06,Yangon,Normal,Female,Food and beverages,5,10.24,214.94,Ewallet,4.76,10.24,9.9,12-15 PM,January,week1
2019-01-31,Mandalay,Member,Male,Sports and travel,1,3.79,79.61,Cash,4.76,3.79,5.8,12-15 PM,January,29-31
2019-03-11,Naypyitaw,Normal,Male,Food and beverages,6,14.03,294.65,Cash,4.76,14.03,6.0,12-15 PM,March,week2
2019-02-20,Yangon,Normal,Female,Health and beauty,10,16.16,339.36,Credit card,4.76,16.16,10.0,15-18 PM,February,week3
2019-01-27,Naypyitaw,Member,Female,Fashion accessories,9,24.33,510.96,Ewallet,4.76,24.33,9.5,12-15 PM,January,week4
2019-03-10,Mandalay,Normal,Male,Food and beverages,7,6.38,133.92,Credit card,4.76,6.38,6.6,12-15 PM,March,week2
2019-02-15,Naypyitaw,Member,Female,Fashion accessories,3,12.07,253.51,Cash,4.76,12.07,8.1,12-15 PM,February,week3
2019-01-26,Mandalay,Normal,Female,Fashion accessories,10,18.98,398.48,Cash,4.76,18.98,9.7,12-15 PM,January,week4
2019-02-13,Yangon,Member,Male,Electronic accessories,1,3.84,80.66,Ewallet,4.76,3.84,7.2,15-18 PM,February,week2
2019-03-09,Yangon,Member,Female,Sports and travel,10,26.13,548.73,Credit card,4.76,26.13,6.2,12-15 PM,March,week2
2019-03-06,Yangon,Normal,Female,Health and beauty,1,3.99,83.73,Ewallet,4.76,3.99,7.3,9-12 AM,March,week1
2019-01-24,Yangon,Normal,Female,Health and beauty,5,19.38,406.88,Ewallet,4.76,19.38,4.3,18-21 PM,January,week4
2019-03-13,Yangon,Normal,Female,Food and beverages,5,13.57,284.92,Ewallet,4.76,13.57,4.6,12-15 PM,March,week2
2019-03-15,Mandalay,Normal,Male,Home and lifestyle,9,6.12,128.43,Cash,4.76,6.12,5.8,9-12 AM,March,week3
2019-03-05,Mandalay,Member,Female,Health and beauty,6,12.32,258.68,Credit card,4.76,12.32,8.3,12-15 PM,March,week1
2019-03-04,Mandalay,Member,Male,Electronic accessories,9,8.66,181.82,Cash,4.76,8.66,8.0,15-18 PM,March,week1
2019-03-25,Naypyitaw,Normal,Female,Food and beverages,6,11.83,248.41,Credit card,4.76,11.83,9.4,18-21 PM,March,week4
2019-03-12,Naypyitaw,Normal,Male,Home and lifestyle,4,9.24,194.12,Credit card,4.76,9.24,6.2,18-21 PM,March,week2
2019-02-04,Naypyitaw,Member,Male,Home and lifestyle,1,0.7,14.68,Ewallet,4.76,0.7,9.8,12-15 PM,February,week1
2019-02-22,Mandalay,Normal,Female,Fashion accessories,5,9.94,208.69,Ewallet,4.76,9.94,9.6,9-12 AM,February,week4
2019-02-16,Naypyitaw,Member,Female,Fashion accessories,7,34.23,718.76,Ewallet,4.76,34.23,4.9,15-18 PM,February,week3
2019-01-19,Yangon,Member,Male,Sports and travel,4,13.45,282.49,Credit card,4.76,13.45,8.0,12-15 PM,January,week3
2019-01-11,Yangon,Normal,Male,Food and beverages,5,3.45,72.4,Credit card,4.76,3.45,7.8,18-21 PM,January,week2
2019-01-04,Mandalay,Member,Female,Fashion accessories,4,13.74,288.58,Cash,4.76,13.74,4.1,18-21 PM,January,week1
2019-03-04,Yangon,Normal,Female,Home and lifestyle,4,11.31,237.43,Ewallet,4.76,11.31,5.5,18-21 PM,March,week1
2019-01-28,Naypyitaw,Normal,Female,Fashion accessories,5,5.96,125.06,Ewallet,4.76,5.96,5.4,18-21 PM,January,week4
2019-01-02,Mandalay,Normal,Female,Health and beauty,10,17.1,359.2,Cash,4.76,17.1,5.1,12-15 PM,January,week1
2019-01-25,Mandalay,Normal,Male,Sports and travel,2,2.19,45.93,Ewallet,4.76,2.19,6.9,12-15 PM,January,week4
2019-01-04,Yangon,Member,Male,Health and beauty,5,5.24,110.09,Cash,4.76,5.24,7.8,12-15 PM,January,week1
2019-03-10,Yangon,Normal,Male,Sports and travel,3,3.88,81.4,Ewallet,4.76,3.88,6.6,18-21 PM,March,week2
2019-03-22,Yangon,Normal,Male,Home and lifestyle,8,20.37,427.81,Ewallet,4.76,20.37,9.2,18-21 PM,March,week4
2019-01-25,Mandalay,Normal,Male,Health and beauty,1,4.81,100.92,Ewallet,4.76,4.81,7.8,15-18 PM,January,week4
2019-01-08,Naypyitaw,Normal,Female,Home and lifestyle,4,9.08,190.6,Credit card,4.76,9.08,8.7,12-15 PM,January,week2
